"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Emily4Mo: I'm happy to help our environment and consumers!
#RightToRepair",FALSE,0,NA,2021-02-19 21:27:21,FALSE,NA,"1362876452115537924",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amybett",4,TRUE,FALSE,NA,NA
"Having to jailbreak your tractor to get rudimentary diagnostics is an egregious abuse of customers and jeopardizes… https://t.co/hozhH8YOI4",FALSE,1,NA,2021-02-19 21:23:55,TRUE,NA,"1362875585970675712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","krmarko",3,FALSE,FALSE,NA,NA
"We cannot trust massive corporations to ever act in any way that will help workers, and that includes our farmers.… https://t.co/6f5lF3iRpS",FALSE,0,NA,2021-02-19 21:14:56,TRUE,NA,"1362873324477505544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","EricLeitzen",0,FALSE,FALSE,NA,NA
"RT @Emily4Mo: I'm happy to help our environment and consumers!
#RightToRepair https://t.co/U2NMd62z3D",FALSE,0,NA,2021-02-19 21:01:10,FALSE,NA,"1362869860968132608",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MOLegDems",4,TRUE,FALSE,NA,NA
"I'm happy to help our environment and consumers!
#RightToRepair https://t.co/U2NMd62z3D",FALSE,47,NA,2021-02-19 20:57:37,FALSE,NA,"1362868968869015559",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Emily4Mo",4,FALSE,FALSE,NA,NA
"Apple cares so much about you privacy that they'll wipe your phone for pretty much any service request. That way, e… https://t.co/CSwVP1QZjw",FALSE,0,NA,2021-02-19 20:32:36,TRUE,NA,"1362862672799100928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rosenjcb",0,FALSE,FALSE,NA,NA
"RT @DrRimmer: Existing consumer right to repair protections are not enough: ACCC https://t.co/qggtG2uaX7 via @ZDNet &amp; @achanthadavong #ausl…",FALSE,0,NA,2021-02-19 20:13:42,FALSE,NA,"1362857917611798528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juliecorb",2,TRUE,FALSE,NA,NA
"RT @andredelattre: “Farmers, we’re an independent bunch. When we see a problem, we’re used to fixing it,” Schweitzer said. “But without the…",FALSE,0,NA,2021-02-19 20:11:24,FALSE,NA,"1362857338361819138",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kevin_oreilly7",4,TRUE,FALSE,NA,NA
"RT @andredelattre: “Farmers, we’re an independent bunch. When we see a problem, we’re used to fixing it,” Schweitzer said. “But without the…",FALSE,0,NA,2021-02-19 20:01:34,FALSE,NA,"1362854864171204610",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grumpyoldtechie",4,TRUE,FALSE,NA,NA
"RT @andredelattre: “Farmers, we’re an independent bunch. When we see a problem, we’re used to fixing it,” Schweitzer said. “But without the…",FALSE,0,NA,2021-02-19 19:56:16,FALSE,NA,"1362853530768453643",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nProctor",4,TRUE,FALSE,NA,NA
"“Farmers, we’re an independent bunch. When we see a problem, we’re used to fixing it,” Schweitzer said. “But withou… https://t.co/ukHtqNPgTw",FALSE,7,NA,2021-02-19 19:44:38,TRUE,NA,"1362850602418601984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","andredelattre",4,FALSE,FALSE,NA,NA
